iter,min_cost,height,vel_x,height_cost,quat_cost,joint_cost,sym_cost,vel_cost,lateral_cost,jvel_cost,n_saturated,max_raw_torque
1,258404.1780068473,0.2706937531657046,-0.04784094713234806,358.43566790999745,7.526546261671842e-6,0.0,0.002265318024131008,6049.666225096447,3.477698664962408e-8,44.66837281453386,0,10.8038139874538
2,223549.1829463507,0.2708798496932558,-0.05446890663664416,357.21621608899346,1.5493384203321856e-5,0.0,0.002664489246085581,6282.410288608898,0.02357147531814557,48.81251148731234,0,32.50339315351262
3,187650.73193561984,0.2710231437643591,-0.041909171017733546,356.2786558501064,2.3657524147332586e-5,0.0,0.007664279121709338,5845.094061301688,0.005355798496080978,85.85468480635282,1,39.54544561014926
4,187051.76219241123,0.2711750213572456,-0.03977632946877357,355.2862792978787,2.6961147543542388e-5,0.0,0.01009347788128831,5772.397703363628,0.00011390329831186208,94.53591381861844,0,23.35761258448174
5,167578.32528282475,0.27137195943719084,-0.03429716979371839,354.0015358954594,4.12588005062119e-5,0.0,0.03240648900284149,5587.7298866045085,0.19393824888540484,167.5613717005903,4,53.10821315346841
6,151805.24337297629,0.27160596504872697,-0.01155475066453833,352.478004390534,2.585313502396326e-5,0.0,0.08457497249359812,4853.318133082132,0.027050896355790433,175.0608477090558,4,58.7479626307366
7,142089.49058368846,0.2719567941044746,0.010394767449406438,350.2000302054869,1.6050218969694008e-5,0.0,0.17664723252218467,4193.559536034169,0.358237548497386,155.76767730132204,2,44.40855460785824
8,125948.75475593033,0.27229662204335175,0.014032550229703695,348.0005286981787,2.5852821096074412e-5,0.0,0.28944581758847293,4088.869116406347,0.6567034449060802,510.23002760091595,4,48.18460631153639
9,112449.37889051624,0.2726855711034306,0.03746911006800521,345.49159948190544,5.404471180955032e-5,0.0,0.3475121741859762,3446.1234084242587,0.3389719709263491,521.5210317411314,2,55.185708060868336
10,106049.30711407952,0.2731372417808773,0.06701638463646796,342.5894728259604,0.00022805736943381748,0.0,0.49793707007983357,2714.0682513931115,0.5215413012750935,569.6421657739105,3,68.08347651471853
11,97718.04658421427,0.27363520623705,0.0752901312940556,339.4040805670466,0.0007302889189977573,0.0,0.6242330085624014,2524.7262546921384,1.0957247951152482,396.09825628559554,7,56.70263508639586
12,89156.76344465418,0.2742011023812568,0.09068251500170169,335.8022021202393,0.0014154520102130986,0.0,0.8629424837745332,2190.6904763006414,1.7876634093664987,321.39252472222347,7,70.56721892250522
13,82179.7847443448,0.27482588591646,0.1173196891499926,331.84782819772454,0.0018500275532892941,0.0,0.9188230186238281,1668.6047986127662,2.6229416746682785,456.2067683745777,1,37.372083528355724
14,76835.96264467928,0.275493007142985,0.1283235081575121,327.6513466804854,0.0029525766493984154,0.0,0.8752659798501156,1473.6408925671906,1.4265260026893076,617.9658076643528,7,74.79944377254145
15,72051.86964254988,0.2761666091246325,0.12982502208244526,323.4411918203057,0.005120619140895371,0.0,0.9789756480559623,1447.976155462012,2.130390061442298,319.14318701774505,7,84.82007862062788
16,70020.74525574227,0.2767610914229943,0.12582631459396082,319.7481673251401,0.009843075286598273,0.0,1.3899881558352551,1516.8236343960953,1.205362055706256,396.1723860345311,4,58.64040879498839
17,64125.001956156026,0.2773927395186042,0.12060544681653038,315.8474971049102,0.01870705267765338,0.0,1.3827995781401208,1609.1202855948352,1.0385405079122523,447.25681477334115,5,83.33230564686806
18,62043.04748892736,0.27803806912878337,0.13990223481410347,311.8870604096028,0.03152844686039554,0.0,1.371434395102935,1281.564720875923,1.447954059156067,281.01851122738645,5,54.47117930130359
19,59617.158014923625,0.27867836988784245,0.14866830731142752,307.98218185754615,0.04489798680522884,0.0,1.96497704530843,1145.0640605994267,1.183239351503329,1246.8453760841005,7,77.40120327876633
20,56904.9014726455,0.2792215923993003,0.1427657055453256,304.6886231559832,0.06140284907886713,0.0,2.320843639925482,1236.1311676329622,2.2421886620310083,506.2620234528847,2,57.31904832402644
21,52999.49094537298,0.2798028977611677,0.1491632921427789,301.18377891177056,0.06572901941877969,0.0,2.315638213661235,1137.585621860233,1.9895809975159848,448.1348528742026,3,68.08250325715312
22,50206.33023431303,0.2803614770032396,0.17980524181253263,297.83505794927856,0.07964513763078651,0.0,2.324731469769254,722.3389947871876,0.7272090038474566,356.97052308499724,3,32.42961808482222
23,49779.2592321802,0.2808778153051595,0.20496232567395622,294.7562249603423,0.08921716790981313,0.0,2.234893636809729,451.6079770651579,0.38445732473474875,526.607777165452,6,65.30106608369499
24,48279.519735641945,0.28137311423317946,0.22190667092101718,291.8178778818441,0.09344540464956208,0.0,2.5734367792494024,304.9284023319151,0.001118782745163674,627.2149284949381,6,79.91459232631087
25,46610.414434028055,0.2819018164158279,0.22919137349214883,288.697608675418,0.09795508189120317,0.0,2.8173657610469953,250.69307939641814,0.014861002529361103,960.5627749056192,9,105.92312367610313
26,45292.39276388466,0.2823838461488934,0.1994378157568484,285.8674047804875,0.10626799250389425,0.0,3.2642138441322457,505.6376449876782,0.0011526424241621194,544.3166232362748,5,113.34405457494485
27,44708.680975558644,0.282846343538577,0.19864739508107143,283.1649889147259,0.10165944352335482,0.0,3.3889945812674704,513.6175261926211,0.6931966465374056,331.83929456711866,5,42.7443137504189
28,42544.16316036359,0.28335928180242587,0.2143387141532256,280.1828524122881,0.08938274128131664,0.0,3.4670993758281328,366.8927946461394,1.5293953139575778,387.21250741230216,8,98.02052848576687
29,39949.11997510816,0.2837684210540044,0.22353460185379717,277.8155035931815,0.06735175883146753,0.0,3.7016059060250006,292.3478556828658,0.5358024006844291,587.4661213634542,4,66.64667161654735
30,41254.566330947484,0.28417847720181477,0.22899102355326637,275.452926940894,0.0714436488276239,0.0,4.750525218174094,252.11373680063855,0.7928863314363824,737.1644243325819,6,105.03412361460306
31,37872.71774140902,0.28452783235803164,0.23458332549076516,273.4480438276833,0.07207053343155152,0.0,6.1935103421147115,213.9670651923587,1.941565096523459,788.3446353371141,9,80.11912619182267
